"year","real_wasted","ideal_wasted"
2012,"368479911.109799999","3396755.2104"
2013,"601825847.601300001","39689359.0118000001"
2014,"360469000.2247","20672634.8318000001"
2015,"171309287.5982","500480.0366"
2016,"368443471.6227","9172707.2874"
2017,"158226862.5711","7584445.2782"
2018,"161912946.842099999","11372201.6372999999"
2019,"80822770.8387","26538109.7865"
